Stato,Popolazione (1-4-2020),Capitale,Abbreviazioni
New Jersey,9288994,Trenton,N.J.
Kansas,2937880,Topeka,Kans.
Florida,21538187,Tallahassee,Fla.
Illinois,12812508,Springfield,Ill.
Utah,3271616,Salt Lake City,Utah
Oregon,4237256,Salem,Oreg.
Minnesota,5706494,Saint Paul,Minn.
California,39538223,Sacramento,Calif.
Virginia,8631393,Richmond,Va.
Rhode Island,1097379,Providence,R.I.
Arizona,7151502,Phoenix,Ariz.
Washington,7705281,Olympia,Wash.
Oklahoma,3959353,Oklahoma City,Okla.
Tennessee,6910840,Nashville,Tenn.
Vermont,643077,Montpelier,Vt.
Alabama,5024279,Montgomery,Ala.
Wisconsin,5893718,Madison,Wis.
Arkansas,3011524,Little Rock,Ark.
Nebraska,1961504,Lincoln,Nebr.
Michigan,10077331,Lansing,Mich.
Alaska,733391,Juneau,Alaska
Missouri,6154913,Jefferson City,Mo.
Mississippi,2961279,Jackson,Miss.
Indiana,6785528,Indianapolis,Ind.
Hawaii,1455271,Honolulu,Hawaii
Montana,1084225,Helena,Mont.
Connecticut,3605944,Hartford,Conn.
Pennsylvania,13002700,Harrisburg,Pa.
Kentucky,4505836,Frankfort,Ky.
Delaware,989948,Dover,Del.
Iowa,3190369,Des Moines,Iowa
Colorado,5773714,Denver,Colo.
New Hampshire,1377529,Concord,N.H.
Ohio,11799448,Columbus,Ohio
Wyoming,576851,Cheyenne,Wyo.
Nevada,3104614,Carson City,Nev.
Massachusetts,7029917,Boston,Mass.
Idaho,1839106,Boise,Idaho
Louisiana,4657757,Baton Rouge,La.
Texas,29145505,Austin,Tex.
Maine,1362359,Augusta,Maine
Georgia,10711908,Atlanta,Ga.
Maryland,6177224,Annapolis,Md.
New York,20201249,Albany,N.Y.
Guam,168485,,Guam
